Date,Original Views,Original Likes,Original Comments,Original Shares,Original Video Count,Repost Views,Repost Likes,Repost Comments,Repost Shares,Repost Video Count,Total Views,Total Likes,Total Comments,Total Shares,Total Video Count
12/01/2025,20182424,456536,9139,20356,28,70217205,2719403,22366,134470,900,90399629,3175939,31505,154826,928
12/02/2025,20185105,456667,9145,20370,28,70220598,2719685,22371,134482,901,90405703,3176352,31516,154852,929
12/03/2025,20187431,456797,9149,20387,28,70323003,2719693,22368,134487,901,90510434,3176490,31517,154874,929
12/04/2025,20193874,457071,9156,20406,29,70325102,2719803,22364,134498,901,90518976,3176874,31520,154904,930
12/05/2025,20303362,457301,9164,20433,29,70327574,2719818,22347,134501,901,90630936,3177119,31511,154934,930
